id,x,y,deg
001_0,s-47.8763389434,s58.451237364399994,s45.0
002_0,s-6.52823020647238028147,s2.41591800757018626555,s203.62937770382222879562
002_1,s-6.83642434570761903245,s1.89299949280238766214,s23.62937768419021722366
003_0,s0.67780483906596800114,s1.22664656548317063667,s155.13405193982077889814
003_1,s1.27014589560965207582,s1.32218749553771219851,s66.37062189402990952658
003_2,s1.16714476699039604313,s0.82278256069912836246,s113.21889411520214707707
004_0,s0.32993746755920599911,s0.21328983533114365123,s336.35535045215920035844
004_1,s0.96096301954078899854,s1.07758695828515205228,s156.34516603317092631187
004_2,s0.96989394584620702844,s0.21328777433808421282,s336.34516670241418978549
004_3,s0.32085029684103899550,s1.07758490744523882654,s156.35535036685564591608
005_0,s0.83601689304478699061,s0.56281478242836324721,s66.63908564988651050953
005_1,s0.30938642386530601502,s1.14367594149827533911,s293.62937654626875882968
005_2,s1.06623956949509302028,s1.16946589494726227443,s206.78630177986110538768
005_3,s1.23101390087434503506,s0.34327219640750838980,s112.66321758026663246710
005_4,s0.32110462769384801041,s0.23358981896184571880,s23.63046108762307540019
006_0,s0.2133487643238887776613918,s1.228290773666471608113630,s293.62918234850486
006_1,s0.3207110238521545728230821,s0.3784068402372140361945671,s23.629328539743767
006_2,s1.222876626623544900071468,s1.335365722468155882470351,s158.6698135916671
006_3,s0.6051781525551927848868785,s0.7476774334163623288378581,s338.669816196453
006_4,s1.222877422177605481776441,s0.4474996630940742655067808,s338.6694939875091
006_5,s0.6823949773487404822223065,s0.3207563655552964158973151,s246.3709312156475
007_0,s1.241542828279214240318584,s0.7748873280100317941578505,s37.50382727803525995114
007_1,s1.460903765631931539488916,s1.331747716521595137271643,s64.69647359678185694065
007_2,s0.7115007989870123939249347,s0.6665284122300152649722293,s213.56872940564085183723
007_3,s0.3859431092794528899551293,s0.7218533571199947190109019,s28.84024661108105647145
007_4,s0.4687682025134425975028840,s1.462307340451585745768954,s208.84024693010178452823
007_5,s0.2135330631483365800884621,s0.3315429118212481643380507,s251.33546029492265461158
007_6,s1.353121444299002853804440,s0.2352508321454848249220436,s336.37064374735564342700
008_0,s0.2065179393924670481227158,s0.2854671373810791225104788,s305.35148257053265297145
008_1,s1.115155668138883626760823,s0.7332721307419365016789047,s305.44255867716742613993
008_2,s1.560481953198269115114183,s1.481536777368857167940486,s125.44193100801567197777
008_3,s1.061657012450383769009246,s0.4626774379016573013379538,s125.33434740654752204136
008_4,s0.7055443725274248723566346,s1.303519643532904948036287,s305.39726802210407186067
008_5,s0.6521236176013554430857551,s1.033418683373735315334066,s125.39735999219203677058
008_6,s1.446002641683541988326241,s0.2323715855798176972176529,s336.35072417162677993474
008_7,s0.3206566591909995156503698,s1.534109893281516999548871,s156.37050064667414517317
009_0,s1.546882178857664481438428,s1.112516127834745619925168,s336.37060773270422942005
009_1,s1.254427652660876417711663,s0.3206551373132887627972976,s113.62937674500193452332
009_2,s0.9770830859165893479427390,s0.8553039923804231872445827,s154.51693093236053755390
009_3,s0.3207626778224850594720838,s0.2132912672021320566026914,s23.63777167356048281022
009_4,s1.502753049952603903188351,s0.7120185141748690257543824,s207.12803765245030263031
009_5,s1.075541381959263941749435,s1.546882203049014271427593,s293.62937773065982582921
009_6,s0.3197850616725642025942427,s1.105227391600620268462458,s203.98231629092128969205
009_7,s0.2128344086415132952719270,s1.522666932356263415265734,s295.53548773064744636940
009_8,s0.6656020323369886285299127,s1.317823768474107197875971,s249.69025404536705536884
010_0,s0.2723206112371042153522096,s0.2135305899583144623197808,s23.62904411357703793328
010_1,s1.109125644609161270848802,s1.596829731373136489201320,s290.26500489713203023712
010_2,s1.567000115508586699507579,s0.1969260632768401672554844,s338.88141898226967896335
010_3,s0.7230674138534769063164066,s0.6582714223874480546949051,s70.23816528472508480263
010_4,s1.570979883347988742550860,s1.171522585602356621155247,s336.22529783110411472080
010_5,s1.081010664200610912887514,s0.3310143214726675511867950,s115.24268364936597208725
010_6,s1.157432086788180769510003,s0.6689809558416623114199384,s293.06278844007351835899
010_7,s0.6843085472723857976002401,s1.603867167687968747766689,s66.32036478872191764822
010_8,s0.3097945204631801924246110,s1.106415949630528569587575,s22.24008302580148210836
010_9,s0.7561477750587586726931571,s1.267487844640215681467380,s246.46576325890018210885
011_0,s1.341653332344061875849048,s0.7048880578404435328334053,s299.724973544595059
011_1,s0.9717410044409473919724694,s0.8964377834766586659139131,s159.360170779609916
011_2,s1.704026116780111270304307,s1.249362524787679385461995,s339.523740640351605
011_3,s1.286840922188943775084511,s1.715716153478849161683498,s293.629379271748917
011_4,s0.3634692546567918433253817,s1.323694653704229787102746,s27.020286341597512
011_5,s1.287773178486772398002916,s0.3814276702659514637122993,s118.476490384766635
011_6,s0.3619002062849239618180640,s0.2122829741958022766644989,s26.895887792579856
011_7,s0.3203906340808662434851030,s1.077037733132073032460426,s206.895872177149272
011_8,s0.8498074959894716556524355,s1.715666805537922108578735,s66.390750586966988
011_9,s0.9225524794747730509810985,s1.371795858595202477444863,s242.734824043969297
011_10,s1.711679805521832625265532,s0.2133942966036842914719765,s336.995725803027653
012_0,s1.739329361071941235132350,s0.9981971369707170108694981,s117.67894351036733269211
012_1,s1.317104603359830224465736,s1.455582868600085705904889,s118.85210583634938075193
012_2,s1.115448681456248498233052,s0.3308114375599305782273983,s298.66932463210810055898
012_3,s1.793210979837242123247354,s1.324514716195276318816696,s339.32271022936095050682
012_4,s0.7157297166937497555302913,s0.7707150953667864646595511,s295.19108675785832929250
012_5,s0.3233309170330260939960945,s1.908511855700242687569387,s157.48841518315157372854
012_6,s0.3531060449933389189379257,s0.7203627812587980621261723,s153.80788648240854854521
012_7,s1.801332610540839374046709,s0.2132928951636218900506908,s336.37063364877246840479
012_8,s0.8903240822839515196025170,s1.909113283296197138839209,s164.16868606756497683818
012_9,s0.8646172301471937303869351,s0.3694406908820378067980119,s117.45235915911501933806
